,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,split4_train_f1_score,mean_train_f1_score,std_train_f1_score,split0_test_precision_score,split1_test_precision_score,split2_test_precision_score,split3_test_precision_score,split4_test_precision_score,mean_test_precision_score,std_test_precision_score,rank_test_precision_score,split0_train_precision_score,split1_train_precision_score,split2_train_precision_score,split3_train_precision_score,split4_train_precision_score,mean_train_precision_score,std_train_precision_score
0,0.020767402648925782,0.0012986707004471172,0.005080986022949219,0.001075564641640061,0.85,0.1,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.7272727272727273,0.42857142857142855,0.6,0.5,0.375,0.5261688311688312,0.1256629577517544,60,0.6046511627906976,0.8421052631578947,0.5531914893617021,0.6666666666666666,0.46153846153846156,0.6256306087030845,0.12740410511232517,1.0,0.42857142857142855,0.46153846153846156,0.3333333333333333,0.23076923076923078,0.4908424908424909,0.26699251516313155,61,0.7647058823529411,0.7741935483870968,0.38235294117647056,0.5,0.3,0.5442504743833017,0.19457729269544638
1,0.025122594833374024,0.0004609602935722225,0.005309391021728516,0.00022694981264582135,0.85,0.1,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.3181818181818182,0.5185185185185185,0.4375,0.35294117647058826,0.3,0.38542830263418504,0.08160878035998981,63,0.2765957446808511,0.43333333333333335,0.36619718309859156,0.34615384615384615,0.3050847457627119,0.3454729706058668,0.05389745981150565,0.1891891891891892,0.35,0.28,0.21428571428571427,0.17647058823529413,0.2419890983420395,0.0647443689955288,65,0.16049382716049382,0.2765957446808511,0.22413793103448276,0.20930232558139536,0.18,0.21010596569144463,0.03996540018241657
2,0.0217771053314209,0.001471434432827967,0.004504013061523438,0.0002549222199276948,0.85,0.1,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.7272727272727273,0.42857142857142855,0.6,0.5,0.375,0.5261688311688312,0.1256629577517544,60,0.6046511627906976,0.8421052631578947,0.5531914893617021,0.6666666666666666,0.46153846153846156,0.6256306087030845,0.12740410511232517,1.0,0.42857142857142855,0.46153846153846156,0.3333333333333333,0.23076923076923078,0.4908424908424909,0.26699251516313155,61,0.7647058823529411,0.7741935483870968,0.38235294117647056,0.5,0.3,0.5442504743833017,0.19457729269544638
3,0.025775146484375,0.0008018566640763061,0.005869150161743164,0.0013807877999196941,0.85,0.1,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.27450980392156865,0.0,0.27450980392156865,0.24,0.24,0.20580392156862745,0.10405286563376073,71,0.25742574257425743,0.0,0.25742574257425743,0.2660098522167488,0.2660098522167488,0.20937423791640247,0.10475748309041909,0.1590909090909091,0.0,0.1590909090909091,0.13636363636363635,0.13636363636363635,0.11818181818181817,0.059958663446695086,72,0.14772727272727273,0.0,0.14772727272727273,0.1534090909090909,0.1534090909090909,0.12045454545454545,0.06028085095397656
4,0.01956324577331543,0.00044188433845004514,0.00419011116027832,8.42699026103993e-05,0.85,0.5,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.875,0.5714285714285714,0.4444444444444444,0.5333333333333333,0.6,0.6048412698412698,0.144890380889053,47,0.8387096774193549,0.8928571428571429,0.8135593220338984,0.8852459016393442,0.7941176470588235,0.8448979382017129,0.03879970326723272,0.7777777777777778,0.5714285714285714,1.0,0.4444444444444444,0.42857142857142855,0.6444444444444444,0.21731544241428358,49,0.7222222222222222,0.8333333333333334,0.7272727272727273,0.7941176470588235,0.6585365853658537,0.747096503050592,0.06083148828395451
5,0.02413349151611328,0.00045247078695668093,0.004186773300170898,0.0007586777931148086,0.85,0.5,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",1.0,0.6,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.8295238095238096,0.12906079707798038,15,0.9811320754716981,0.9629629629629629,0.9629629629629629,1.0,0.9642857142857143,0.9742687431366676,0.014591128168987484,1.0,1.0,1.0,0.75,0.75,0.9,0.1224744871391589,15,0.9629629629629629,0.9285714285714286,0.9285714285714286,1.0,0.9310344827586207,0.9502280605728883,0.028092121820277115
6,0.01741485595703125,0.002366227376438672,0.004772377014160156,0.0006765814763052276,0.85,0.5,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.875,0.5714285714285714,0.4444444444444444,0.5333333333333333,0.6,0.6048412698412698,0.144890380889053,47,0.8387096774193549,0.8928571428571429,0.8135593220338984,0.8852459016393442,0.7941176470588235,0.8448979382017129,0.03879970326723272,0.7777777777777778,0.5714285714285714,1.0,0.4444444444444444,0.42857142857142855,0.6444444444444444,0.21731544241428358,49,0.7222222222222222,0.8333333333333334,0.7272727272727273,0.7941176470588235,0.6585365853658537,0.747096503050592,0.06083148828395451
7,0.026040267944335938,0.0018006675365354902,0.0058929443359375,0.0004914970968038332,0.85,0.5,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.01837325096130371,0.00022860574958957606,0.004170608520507812,0.00013574469368601312,0.85,1.0,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.8235294117647058,0.6153846153846154,0.4444444444444444,0.625,0.5714285714285714,0.6159574086044675,0.12212104426540751,40,0.8125,0.8928571428571429,0.8333333333333334,0.8709677419354839,0.8181818181818182,0.8455680072615557,0.031223685143093337,0.7,0.6666666666666666,1.0,0.5,0.4,0.6533333333333333,0.2050474199897293,39,0.6842105263157895,0.8333333333333334,0.7352941176470589,0.7714285714285715,0.6923076923076923,0.7433148482064891,0.05486910248161584
9,0.023862266540527345,0.0010818161580538428,0.005300331115722656,0.0007329036666563664,0.85,1.0,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",1.0,0.8333333333333334,0.8333333333333334,0.8571428571428571,1.0,0.9047619047619048,0.07824607964359515,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,0.95,0.09999999999999999,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
