,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.35422520637512206,0.06780064268631547,0.011741065979003906,0.0031987926733359965,0.85,0.1,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9238519524138018,0.8643359767250229,0.8674535935264223,0.8395056075629354,0.8479511328560925,0.8686196526168551,0.0294792531869827,79
1,0.41613163948059084,0.024835419310781662,0.02595691680908203,0.005032354268864066,0.85,0.1,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9318287607197064,0.8770702807352657,0.855454432123374,0.842989066359323,0.8485131425125468,0.8711711364900433,0.03246159529074115,68
2,0.31696557998657227,0.024710374096150345,0.009722328186035157,0.0015766505273131282,0.85,0.1,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9238519524138018,0.8643359767250229,0.8674535935264223,0.8395056075629354,0.8479511328560925,0.8686196526168551,0.0294792531869827,79
3,0.4083815574645996,0.01609625176916323,0.024040365219116212,0.003670477168910626,0.85,0.1,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9084800542987996,0.8544286435218635,0.8389711266944891,0.8120173104409687,0.8277874999216316,0.8483369269755506,0.033116208983122786,98
4,0.2652156829833984,0.027366424179483345,0.00796680450439453,0.0010017889253774721,0.85,0.5,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9295533849147504,0.890472516447387,0.9068580576484728,0.8663231835129054,0.9043776535579389,0.8995169592162909,0.020800642465364543,59
5,0.4269688129425049,0.042061219693499394,0.025800561904907225,0.013774477094987334,0.85,0.5,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9652017036438536,0.9181126350732491,0.913544777703736,0.888463626939069,0.920618102416685,0.9211881691553184,0.024804403642479118,24
6,0.2855175495147705,0.02710396643706006,0.009546518325805664,0.0033981088763878876,0.85,0.5,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.9295533849147504,0.890472516447387,0.9068580576484728,0.8663231835129054,0.9043776535579389,0.8995169592162909,0.020800642465364543,59
7,0.40248994827270507,0.01371152203485357,0.02451634407043457,0.004085773718272034,0.85,0.5,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9084800542987996,0.8544286435218635,0.8389711266944891,0.8120173104409687,0.8277874999216316,0.8483369269755506,0.033116208983122786,98
8,0.24910569190979004,0.02999591885267052,0.00626988410949707,0.0007645137369655343,0.85,1.0,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.9262149117257805,0.9056476995645761,0.9204802079641,0.8716827568691815,0.9158143019370643,0.9079679756121404,0.01935495932789918,43
9,0.38240761756896974,0.012996584669540434,0.018494033813476564,0.0029175197126268503,0.85,1.0,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9729917950513578,0.9388592609015763,0.9379894091147668,0.9023869161674245,0.9411548060873308,0.9386764374644914,0.022365691876970534,15
