,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,split4_train_f1_score,mean_train_f1_score,std_train_f1_score,split0_test_precision_score,split1_test_precision_score,split2_test_precision_score,split3_test_precision_score,split4_test_precision_score,mean_test_precision_score,std_test_precision_score,rank_test_precision_score,split0_train_precision_score,split1_train_precision_score,split2_train_precision_score,split3_train_precision_score,split4_train_precision_score,mean_train_precision_score,std_train_precision_score
0,0.013118362426757813,0.004040909747524508,0.00843815803527832,0.002744632712176509,0.85,0.1,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6888888888888889,0.04444444444444447,57,0.9473684210526315,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.7290085679314565,0.1091799265605875,0.7,0.5,0.5,0.5,0.5,0.54,0.07999999999999999,56,0.9310344827586207,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5932244404113733,0.16890502117362372
1,0.01664896011352539,0.00477565489859927,0.007649374008178711,0.0013707359406482321,0.85,0.1,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.7619047619047619,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6857142857142856,0.03809523809523809,59,1.0,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.7395348837209301,0.1302325581395349,0.6153846153846154,0.5,0.5,0.5,0.5,0.5230769230769231,0.04615384615384617,59,1.0,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.6070175438596491,0.1964912280701754
2,0.011597871780395508,0.005193884129896053,0.012230396270751953,0.00655010500340007,0.85,0.1,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6888888888888889,0.04444444444444447,57,0.9473684210526315,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.7290085679314565,0.1091799265605875,0.7,0.5,0.5,0.5,0.5,0.54,0.07999999999999999,56,0.9310344827586207,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5932244404113733,0.16890502117362372
3,0.013491344451904298,0.0031764396911952704,0.013467550277709961,0.005132702308549022,0.85,0.1,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.8421052631578947,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7017543859649121,0.07017543859649122,53,0.9473684210526315,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.7290085679314565,0.1091799265605875,0.7272727272727273,0.5,0.5,0.5,0.5,0.5454545454545455,0.09090909090909093,53,0.9310344827586207,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5932244404113733,0.16890502117362372
4,0.01141510009765625,0.003068953965747396,0.011179018020629882,0.006085067300234558,0.85,0.5,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.875,0.875,0.8235294117647058,0.7272727272727273,0.7692307692307693,0.8140065816536405,0.05841012468805364,11,0.9629629629629629,0.9642857142857143,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.9497354497354499,0.017287099738311665,0.875,0.7777777777777778,0.7,1.0,0.8333333333333334,0.8372222222222222,0.10030201307631118,6,1.0,1.0,1.0,0.9629629629629629,0.9629629629629629,0.9851851851851852,0.018144368465060606
5,0.01642894744873047,0.006717355841815743,0.009979867935180664,0.0059280738034081125,0.85,0.5,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.7619047619047619,0.8235294117647058,0.7777777777777778,0.6666666666666666,0.75,0.7559757236227824,0.05115818755411374,36,1.0,1.0,1.0,1.0,0.9824561403508771,0.9964912280701753,0.007017543859649145,0.6153846153846154,0.7,0.6363636363636364,0.8,0.6666666666666666,0.6836829836829836,0.06479079578787593,38,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.019856834411621095,0.007379061470275428,0.015441799163818359,0.0031860316093720135,0.85,0.5,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.875,0.875,0.8235294117647058,0.7272727272727273,0.7692307692307693,0.8140065816536405,0.05841012468805364,11,0.9629629629629629,0.9642857142857143,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.9497354497354499,0.017287099738311665,0.875,0.7777777777777778,0.7,1.0,0.8333333333333334,0.8372222222222222,0.10030201307631118,6,1.0,1.0,1.0,0.9629629629629629,0.9629629629629629,0.9851851851851852,0.018144368465060606
7,0.014210891723632813,0.009651354808249118,0.01072244644165039,0.006810724315854873,0.85,0.5,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.8421052631578947,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7017543859649121,0.07017543859649122,53,0.9473684210526315,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.7290085679314565,0.1091799265605875,0.7272727272727273,0.5,0.5,0.5,0.5,0.5454545454545455,0.09090909090909093,53,0.9310344827586207,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5087719298245614,0.5932244404113733,0.16890502117362372
8,0.012617015838623047,0.0037372979578421915,0.006878948211669922,0.0010207211738438335,0.85,1.0,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.875,0.875,0.8,0.6666666666666666,0.6666666666666666,0.7766666666666666,0.09389710680668852,33,0.9629629629629629,0.9642857142857143,0.9473684210526315,0.9824561403508771,0.9830508474576272,0.9680248172219625,0.013418901847064974,0.875,0.7777777777777778,0.75,0.8,0.625,0.7655555555555555,0.0816231932664506,26,1.0,1.0,0.9642857142857143,1.0,0.9666666666666667,0.9861904761904763,0.01692989412822016
9,0.017980623245239257,0.005060345845296754,0.010988426208496094,0.004964581269811181,0.85,1.0,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.8888888888888888,0.875,0.7777777777777778,0.6666666666666666,0.7058823529411765,0.782843137254902,0.08852590727893325,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.7777777777777778,0.6363636363636364,0.8,0.6,0.7228282828282828,0.08659482318068273,36,1.0,1.0,1.0,1.0,1.0,1.0,0.0
