,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_train_f1_score,split1_train_f1_score,split2_train_f1_score,split3_train_f1_score,split4_train_f1_score,mean_train_f1_score,std_train_f1_score,split0_test_precision_score,split1_test_precision_score,split2_test_precision_score,split3_test_precision_score,split4_test_precision_score,mean_test_precision_score,std_test_precision_score,rank_test_precision_score,split0_train_precision_score,split1_train_precision_score,split2_train_precision_score,split3_train_precision_score,split4_train_precision_score,mean_train_precision_score,std_train_precision_score
0,0.012457656860351562,0.005223344940718938,0.011829948425292969,0.0058309014552052245,0.85,0.1,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.3265986323710904,43,0.0,0.0,0.0,0.7037037037037037,0.7037037037037037,0.2814814814814815,0.344743000836151,0.0,0.0,0.0,0.5,0.5,0.2,0.24494897427831783,43,0.0,0.0,0.0,0.5428571428571428,0.5428571428571428,0.21714285714285714,0.2659446006450307
1,0.009885835647583007,0.0032760461624527903,0.010474491119384765,0.005605316845611622,0.85,0.1,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.3265986323710904,43,0.0,0.0,0.0,0.7037037037037037,0.7037037037037037,0.2814814814814815,0.344743000836151,0.0,0.0,0.0,0.5,0.5,0.2,0.24494897427831783,43,0.0,0.0,0.0,0.5428571428571428,0.5428571428571428,0.21714285714285714,0.2659446006450307
2,0.010658979415893555,0.004587761621677835,0.014707803726196289,0.0027532447734364366,0.85,0.1,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.3265986323710904,43,0.0,0.0,0.0,0.7037037037037037,0.7037037037037037,0.2814814814814815,0.344743000836151,0.0,0.0,0.0,0.5,0.5,0.2,0.24494897427831783,43,0.0,0.0,0.0,0.5428571428571428,0.5428571428571428,0.21714285714285714,0.2659446006450307
3,0.012766170501708984,0.004544426004284628,0.013556528091430663,0.004855576351631673,0.85,0.1,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.26666666666666666,0.3265986323710904,43,0.0,0.0,0.0,0.7037037037037037,0.7037037037037037,0.2814814814814815,0.344743000836151,0.0,0.0,0.0,0.5,0.5,0.2,0.24494897427831783,43,0.0,0.0,0.0,0.5428571428571428,0.5428571428571428,0.21714285714285714,0.2659446006450307
4,0.011608409881591796,0.003520657699232016,0.012286901473999023,0.0038534156952683392,0.85,0.5,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.8333333333333334,0.9090909090909091,0.8,0.8888888888888888,0.8888888888888888,0.8640404040404039,0.04076405265648538,21,0.9473684210526315,0.9473684210526315,0.972972972972973,0.95,0.9473684210526315,0.9530156472261735,0.010030577944685022,0.7142857142857143,0.8333333333333334,0.8,0.8,0.8,0.7895238095238095,0.03977259622442115,25,0.9,0.9,0.9473684210526315,0.9047619047619048,0.9473684210526315,0.9198997493734336,0.02249537835811113
5,0.013489770889282226,0.004876966297701204,0.012571287155151368,0.0028563050606330936,0.85,0.5,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.8333333333333334,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.8,0.8357575757575757,0.06900579552722559,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.5714285714285714,0.6666666666666666,0.7238095238095238,0.10056529562829944,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.011263036727905273,0.0034112956945799755,0.010618877410888673,0.00472994426071485,0.85,0.5,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.8333333333333334,0.9090909090909091,0.8,0.8888888888888888,0.8888888888888888,0.8640404040404039,0.04076405265648538,21,0.9473684210526315,0.9473684210526315,0.972972972972973,0.95,0.9473684210526315,0.9530156472261735,0.010030577944685022,0.7142857142857143,0.8333333333333334,0.8,0.8,0.8,0.7895238095238095,0.03977259622442115,25,0.9,0.9,0.9473684210526315,0.9047619047619048,0.9473684210526315,0.9198997493734336,0.02249537835811113
7,0.010954046249389648,0.006282197807204446,0.011854839324951173,0.004579279009946663,0.85,0.5,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.010371923446655273,0.003596805647410462,0.008814716339111328,0.005090098996947409,0.85,1.0,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",1.0,0.9090909090909091,0.8,0.8571428571428571,0.8888888888888888,0.891024531024531,0.0657875989764821,2,0.918918918918919,0.9473684210526315,0.972972972972973,0.95,0.9473684210526315,0.947325746799431,0.017157408621317965,1.0,0.8333333333333334,0.8,1.0,0.8,0.8866666666666667,0.09333333333333332,1,0.8947368421052632,0.9,0.9473684210526315,0.9047619047619048,0.9473684210526315,0.9188471177944862,0.023502518793648314
9,0.008939790725708007,0.003814885261194789,0.01130504608154297,0.007280879596050164,0.85,1.0,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.8333333333333334,0.9090909090909091,0.9090909090909091,0.6666666666666666,0.8,0.8236363636363636,0.08932765904432827,33,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.5,0.6666666666666666,0.7095238095238094,0.12362623795949687,33,1.0,1.0,1.0,1.0,1.0,1.0,0.0
