,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.49338417053222655,0.022968592553471247,0.022082138061523437,0.010966369862111539,0.85,0.1,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.8245614035087719,0.8181818181818182,0.8070175438596491,0.8070175438596491,0.7962962962962963,0.8106149211412369,0.009825146974097063,72
1,0.5530590534210205,0.01186580071004804,0.031909847259521486,0.0033751322520678075,0.85,0.1,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.8448275862068966,0.8181818181818182,0.8214285714285714,0.8275862068965517,0.780952380952381,0.8185953127332437,0.020948303010457497,62
2,0.36693682670593264,0.033471138491712515,0.011023235321044923,0.0015997086276116664,0.85,0.1,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.8245614035087719,0.8181818181818182,0.8070175438596491,0.8070175438596491,0.7962962962962963,0.8106149211412369,0.009825146974097063,72
3,0.4831377506256104,0.0721385825302943,0.035447311401367185,0.012343645437429699,0.85,0.1,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.6214689265536724,0.6214689265536724,0.625,0.625,0.49858757062146897,0.24929878678102552,87
4,0.2997579097747803,0.02128314339495404,0.010769939422607422,0.0009732535580829546,0.85,0.5,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.8869565217391304,0.8288288288288288,0.8495575221238938,0.7964601769911505,0.780952380952381,0.8285510861270768,0.03781006634960691,55
5,0.38393487930297854,0.00798018251392899,0.02229785919189453,0.0015790538846694867,0.85,0.5,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9043478260869565,0.8596491228070176,0.875,0.8141592920353983,0.7924528301886793,0.8491218142236103,0.0406550582848692,35
6,0.3000446319580078,0.017406400267753027,0.010836267471313476,0.0015941686209640811,0.85,0.5,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.8869565217391304,0.8288288288288288,0.8495575221238938,0.7964601769911505,0.780952380952381,0.8285510861270768,0.03781006634960691,55
7,0.4536623477935791,0.04177095872255639,0.036532115936279294,0.013438080694401833,0.85,0.5,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 0.5, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.0,0.6214689265536724,0.6214689265536724,0.625,0.625,0.49858757062146897,0.24929878678102552,87
8,0.2749293804168701,0.012816943073109027,0.009886741638183594,0.001208361104644246,0.85,1.0,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.8695652173913043,0.8181818181818182,0.9090909090909091,0.8,0.8349514563106796,0.8463578801949423,0.0388511607208108,39
9,0.38341464996337893,0.02109961095925404,0.020648765563964843,0.0020859242951696867,0.85,1.0,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9310344827586207,0.8793103448275862,0.897196261682243,0.8495575221238938,0.8113207547169812,0.873683873221865,0.040852959195230576,15
10,0.2676583766937256,0.009083840763438008,0.010067319869995118,0.0009636375644380717,0.85,1.0,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.8695652173913043,0.8181818181818182,0.9090909090909091,0.8,0.8349514563106796,0.8463578801949423,0.0388511607208108,39
11,0.4274776458740234,0.04566751778333647,0.033268404006958005,0.014509371019912119,0.85,1.0,auto,rbf,"{'pca__n_components': 0.85, 'svc__C': 1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.1016949152542373,0.6547619047619048,0.6626506024096386,0.6835443037974683,0.654320987654321,0.5513945427755139,0.22509992879415228,86
12,0.252241849899292,0.011067956941167557,0.007753562927246094,0.0006580511623345189,0.85,5.0,scale,linear,"{'pca__n_components': 0.85, 'svc__C': 5, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.8421052631578947,0.8363636363636363,0.875,0.8181818181818182,0.8349514563106796,0.8413204348028058,0.018630396583818435,43
13,0.38495235443115233,0.007259356160247923,0.021383047103881836,0.001585877319426806,0.85,5.0,scale,rbf,"{'pca__n_components': 0.85, 'svc__C': 5, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.9310344827586207,0.8793103448275862,0.9454545454545454,0.8411214953271028,0.8333333333333334,0.8860508403402376,0.045597245826082454,9
14,0.26887049674987795,0.024555675701799732,0.00995016098022461,0.00263066857031081,0.85,5.0,auto,linear,"{'pca__n_components': 0.85, 'svc__C': 5, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.8421052631578947,0.8363636363636363,0.875,0.8181818181818182,0.8349514563106796,0.8413204348028058,0.018630396583818435,43
